ID;pais
Al Ain;Emiratos Árabes Unidos
Aldosivi;Argentina
Alianza Lima;Perú
Almagro;Argentina
Argentinos Jrs;Argentina
Argentinos Merlo;Argentina
Arsenal;Argentina
Atlanta;Argentina
Atlas;Argentina
Atlético Mineiro;Brasil
Atlético Nacional;Colombia
Atlético Tucumán;Argentina
Banfield;Argentina
Barracas Central;Argentina
Belgrano;Argentina
Binacional;Perú
Boca;Argentina
Central Córdoba;Argentina
Central Norte;Argentina
Cerro Porteño;Paraguay
Chacarita;Argentina
Chapecoense;Brasil
Colo Colo;Chile
Colón;Argentina
Crucero del Norte;Argentina
Cruzeiro;Brasil
Defensa y Justicia;Argentina
Deportes de Pronunciamiento;Argentina
Emelec;Ecuador
Estudiantes;Argentina
Estudiantes BA;Argentina
Estudiantes SL;Argentina
Ferro Carril Oeste;Argentina
Flamengo;Brasil
Fluminense;Brasil
Fortaleza;Brasil
Gamba Osaka;Japón
Gimnasia de Mendoza;Argentina
Gimnasia LP;Argentina
Godoy Cruz;Argentina
Gremio;Brasil
Guaraní;Paraguay
Hiroshima;Japón
Huracán;Argentina
Independiente;Argentina
Independiente del Valle;Ecuador
Independiente Medellín;Colombia
Instituto;Argentina
Internacional;Brasil
Juan Aurich;Perú
Junior;Colombia
Kashima;Japón
Laferrere;Argentina
Lanús;Argentina
Libertad;Paraguay
Liga de Quito;Ecuador
Liniers;Argentina
Melgar;Perú
Morón;Argentina
Nacional;Uruguay
Newell's;Argentina
Nueva Chicago;Argentina
Olimpo;Argentina
Palestino;Chile
Palmeiras;Brasil
Paranaense;Brasil
Patronato;Argentina
Platense;Argentina
Quilmes;Argentina
Racing;Argentina
Racing de Córdoba;Argentina
Rafaela;Argentina
Rivadavia;Argentina
Rosario Central;Argentina
San José;Bolivia
San Lorenzo;Argentina
San Martín SJ;Argentina
San Martín T;Argentina
Santa Fe;Colombia
Sao Paulo;Brasil
Sarmiento;Argentina
Sarmiento R;Argentina
Sporting Cristal;Perú
Talleres;Argentina
Temperley;Argentina
The Strongest;Bolivia
Tigre;Argentina
Tigres;México
Trujillanos;Venezuela
Unión;Argentina
Vélez;Argentina
Villa Dálmine;Argentina
Wilstermann;Bolivia